LOCATION,LOC_CODE,TRAIL_NAME,REACH,PATH_TYPE,TYPE_CLASS,SURFACE_TYPE,LENGTH_MILE,WIDTH_FT,PRIMARY_USE,JURISDICTION,ACCESSIBILITY,YEAR_BUILT,NOTES,ASSET_CLASS,CLASS_CATEGORY,GIS_ASSET_ID,INFOR_ASSET_ID,FCA_DATE,ASSET_CONDITION
Central Park,561,None,None,1,Park Circulation,Crusher Fines,0.02675923,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-SOFT,71070,104810,2019-01-01 00:00:00,Good
Cheesman Park,312,Cheesman Park Inner Loop,None,1,Park Circulation,Concrete,0.00763414,6.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,75619,107671,2019-01-01 00:00:00,Good
Carpio Sanguinette,912,None,None,1,Park Circulation,Concrete,0.08268334,10.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,74873,107576,2019-01-01 00:00:00,Good
Williams Park,225,None,None,1,Park Circulation,Concrete,0.00137866,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,74008,104389,2019-01-01 00:00:00,Good
42nd & Lisbon,522,None,None,1,Park Circulation,Concrete,0.04572571,8.0,None,City & County of Denver,None,2004,None,WLKTRL,WLK-HARD,70256,103913,2019-01-01 00:00:00,Good
City Park,201,None,None,1,Park Circulation,Concrete,0.01633719,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,71299,104827,2019-01-01 00:00:00,Good
Sanderson Gulch,828,Sanderson Gulch Trail,None,2,Minor,Concrete,0.1529053,10.0,None,City & County of Denver,None,None,None,WLKTRL,TRL-MNR,74747,109675,2019-01-01 00:00:00,Good
Red Rocks,M44,Red Rocks Trail,None,2,Mountain,Natural Surface,0.0279459,None,None,Jefferson County,None,1986,None,WLKTRL,TRL-MTN,77170,None,None,None
Sanchez Park,028,None,None,1,Park Circulation,Concrete,0.07850831,8.0,None,City & County of Denver,None,2018,None,WLKTRL,WLK-HARD,76807,None,2021-04-27 00:00:00,100
Sloans Lake Park,019,None,None,1,Right of Way Walk,Concrete,0.27131575,None,None,City & County of Denver,None,2019,None,WLKTRL,WLK-ROW,77001,None,2021-05-12 00:00:00,80
Green Valley Ranch East,550,None,None,1,Park Circulation,Concrete,0.01537086,12.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,72041,104928,2019-01-01 00:00:00,Good
Congress Park,314,None,None,1,Park Circulation,Concrete,0.03625475,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,70668,107804,2019-01-01 00:00:00,Good
Harvard Gulch North,842,None,None,1,Park Circulation,Natural Surface,0.26169159,22.0,Running Track,City & County of Denver,None,None,None,WLKTRL,WLK-SOFT,75457,109036,2018-10-23 00:00:00,Poor
Rude Park,024, ,None,1,Right of Way Walk,Concrete,0.03658171,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,70054,104669,2019-01-01 00:00:00,Good
Uplands Park,574,None,None,1,Right of Way Walk,Concrete,0.0305888,5.0,None,City & County of Denver,None,2015, ,WLKTRL,WLK-HARD,76720,None,2021-05-06 00:00:00,80
Parkfield,516,None,None,1,Park Circulation,Concrete,0.01884482,None,None,City & County of Denver,None,2011,None,WLKTRL,WLK-HARD,75840,106946,2019-01-01 00:00:00,Good
Ciancio Park,027,None,None,1,Park Circulation,Concrete,0.02052499,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,71468,108595,2018-09-13 00:00:00,Poor
Swansea Park,210,None,None,1,Park Circulation,Concrete,0.15338282,None,None,City & County of Denver,None,2012,None,WLKTRL,WLK-HARD,73729,109541,2019-01-01 00:00:00,Good
City Park,201,None,None,1,Park Circulation,Concrete,0.00612355,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,74069,105207,2019-01-01 00:00:00,Good
Highland Park,013,None,None,1,Park Circulation,Concrete,0.00935809,8.0,None,City & County of Denver,None,2010,None,WLKTRL,WLK-HARD,72418,107270,2019-01-01 00:00:00,Good
Pinehurst Park,159,None,None,1,Park Circulation,Asphalt,0.00753064,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,73008,104263,2019-01-01 00:00:00,Good
Valverde Park,834,None,None,1,Park Circulation,Concrete,0.06096862,None,None,City & County of Denver,None,2009,None,WLKTRL,WLK-HARD,73623,106679,2019-01-01 00:00:00,Good
51st & Zuni,009,None,None,1,Park Circulation,Concrete,0.00323802,12.0,None,City & County of Denver,None,2000,None,WLKTRL,WLK-HARD,70327,105470,2019-01-01 00:00:00,Good
Benedict Fountain Park,310,None,None,1,Park Circulation,Concrete,0.03642116,8.0,None,City & County of Denver,None,2013,None,WLKTRL,WLK-HARD,75765,104631,2019-01-01 00:00:00,Good
Sanderson Gulch,828,None,None,1,Park Circulation,Concrete,0.02425993,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,74690,108273,2019-01-01 00:00:00,Good
Parkfield,516,None,None,1,Park Circulation,Concrete,0.01714914,None,None,City & County of Denver,None,2009,None,WLKTRL,WLK-HARD,75745,109802,2019-01-01 00:00:00,Good
Montbello Open Space,539,None,None,1,Park Circulation,Crusher Fines,0.01062527,8.0,None,City & County of Denver,None,2018,None,WLKTRL,WLK-SOFT,76822,None,2021-05-12 00:00:00,80
Sloans Lake Park,019,Sloan's Lake Running Trail,None,1,Park Circulation,Crusher Fines,0.06573869,None,None,City & County of Denver,None,2018,None,WLKTRL,WLK-SOFT,76892,None,2021-05-12 00:00:00,80
Bear Creek Park,139,None,None,1,Park Circulation,Asphalt,0.23637314,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,70751,103970,2019-01-01 00:00:00,Good
Parkfield,516,None,None,1,Right of Way Walk,Concrete,0.00507008,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,74754,104499,2019-01-01 00:00:00,Good
Highland Park,013,None,None,1,Park Circulation,Concrete,0.01295711,5.0,None,City & County of Denver,None,2010,None,WLKTRL,WLK-HARD,75016,104538,2019-01-01 00:00:00,Good
Sunken Gardens,318,None,None,1,Park Circulation,Concrete,0.03717527,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,73604,106660,2018-09-20 00:00:00,Poor
Sanderson Gulch - Florida & Raritan,851,None,None,1,Park Circulation,Asphalt,0.01206913,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,74779,105285,2019-01-01 00:00:00,Good
Cottonwood Gallery,577,None,None,1,Right of Way Walk,Concrete,0.00498365,5.0,None,City & County of Denver,None,2017,None,WLKTRL,WLK-HARD,76541,None,2021-05-12 00:00:00,100
Bear Creek Park,139,None,None,1,Park Circulation,Concrete,0.00639564,14.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,70874,107058,2019-01-01 00:00:00,Good
Bible Park,602,None,None,1,Park Circulation,Concrete,0.03912861,5.0,None,City & County of Denver,None,2021,Wavy Walk,WLKTRL,WLK-HARD,77360,None,2021-10-15 00:00:00,100
Central Park,561,None,None,1,Park Circulation,Concrete,0.00499946,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,73395,107381,2019-01-01 00:00:00,Good
Civic Center Park,213,None,None,1,Park Circulation,Concrete,0.03056403,16.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,70075,105445,2019-01-01 00:00:00,Good
Central Park,561,None,None,1,Park Circulation,Concrete,0.05711829,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,73497,109531,2019-01-01 00:00:00,Good
Garfield Lake Park,807,None,None,1,Park Circulation,Concrete,0.02884056,8.0,None,City & County of Denver,None,2010,None,WLKTRL,WLK-HARD,75185,108328,2019-01-01 00:00:00,Good
Harvard Gulch,829,None,None,1,Right of Way Walk,Concrete,0.11927314,3.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,72371,106503,2019-01-01 00:00:00,Good
City Park,201,None,None,1,Park Circulation,Asphalt,0.06694136,6.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,75830,106188,2019-01-01 00:00:00,Good
Franco Park,022,None,None,1,Right of Way Walk,Concrete,0.00420418,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,71985,109337,2019-01-01 00:00:00,Good
City of Axum Park,417,None,None,1,Park Circulation,Crusher Fines,0.00127478,8.0,None,City & County of Denver,None,2010,None,WLKTRL,WLK-SOFT,75491,109761,2018-10-02 00:00:00,Poor
Town Center,558,None,None,1,Park Circulation,Concrete,0.00542374,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,74455,108913,2019-01-01 00:00:00,Good
Inspiration Point Park,005,None,None,1,Park Circulation,Concrete,0.02626215,4.0,None,City & County of Denver,None,2022,None,WLKTRL,WLK-HARD,77430,None,2022-06-09 00:00:00,100
Westwood Utility Easement,812,None,None,1,Right of Way Walk,Concrete,0.02620522,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,70888,107072,2019-01-01 00:00:00,Good
Ruby Hill Park,827,None,None,1,Park Circulation,Asphalt,0.06027646,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,73036,104291,2019-01-01 00:00:00,Good
Central Park,561,None,None,1,Park Circulation,Concrete,0.01866933,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,70749,109195,2019-01-01 00:00:00,Good
Garfield Lake Park,807,None,None,1,Park Circulation,Asphalt,0.00154599,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,71887,106454,2019-01-01 00:00:00,Good
Cheesman Park,312,Cheesman Park Inner Loop,None,1,Park Circulation,Concrete,0.0161696,6.0,None,City & County of Denver,None,2010,None,WLKTRL,WLK-HARD,75067,105338,2019-01-01 00:00:00,Good
Boyd Park,255,None,None,1,Right of Way Walk,Concrete,0.04995449,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,73160,108065,2019-01-01 00:00:00,Good
Hentzel Park,603,Hampden Heights Trail,None,2,Neighborhood,Concrete,0.01074762,10.0,None,City & County of Denver,None,None,None,WLKTRL,TRL-MNR,72363,106495,2019-01-01 00:00:00,Good
Downtown Children's Playground,942,None,None,1,Park Circulation,Concrete,0.08434472,12.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,75793,105416,2019-01-01 00:00:00,Good
Silverman Park,534,None,None,1,Right of Way Walk,Concrete,0.01686781,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,73341,106625,2019-01-01 00:00:00,Good
Cheesman Park,312,None,None,1,Park Circulation,Concrete,0.01328132,6.0,None,City & County of Denver,None,2010,None,WLKTRL,WLK-HARD,75069,105340,2019-01-01 00:00:00,Good
Sloans Lake Park,019,None,None,1,Park Circulation,Concrete,0.10340477,None,None,City & County of Denver,None,2011,None,WLKTRL,WLK-HARD,76095,112422,2019-01-01 00:00:00,Good
Westwood Utility Easement,812,None,None,1,Park Circulation,Concrete,0.0079617,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,70887,107071,2019-01-01 00:00:00,Good
Westwood Utility Easement,812,None,None,1,Park Circulation,Concrete,0.00854923,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,70818,105542,2019-01-01 00:00:00,Good
Babi-Yar Park,601,None,None,1,Park Circulation,Crusher Fines,0.02861186,3.0,None,City & County of Denver,None,2011,None,WLKTRL,WLK-SOFT,76287,114148,2019-01-01 00:00:00,Good
Rosamond Park,621,None,None,1,Park Circulation,Concrete,0.01265979,None,None,City & County of Denver,None,2010,None,WLKTRL,WLK-HARD,75741,109798,2019-01-01 00:00:00,Good
Hampden Heights Park,614,Hampden Heights Trail,None,2,Neighborhood,Concrete,0.00339805,8.0,None,City & County of Denver,None,None,None,WLKTRL,TRL-MNR,72057,104944,2019-01-01 00:00:00,Good
Central Park,561,None,None,1,Park Circulation,Crusher Fines,0.04146903,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-SOFT,73306,105117,2019-01-01 00:00:00,Good
41st & Ensenada,524,None,None,1,Park Circulation,Concrete,0.02587471,8.0,None,City & County of Denver,None,2004,None,WLKTRL,WLK-HARD,70279,104674,2019-01-01 00:00:00,Good
Harvard Gulch West,145,None,None,1,Right of Way Walk,Concrete,0.05153613,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,71350,106353,2019-01-01 00:00:00,Good
Thomas (Fred) Park,L16,None,None,1,Park Circulation,Concrete,0.0214116,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,73610,106666,2019-01-01 00:00:00,Good
Hampden Heights Park,614,None,None,1,Park Circulation,Concrete,0.00592044,12.0,None,City & County of Denver,None,2010,None,WLKTRL,WLK-HARD,72287,104947,2019-01-01 00:00:00,Good
Prairie Park,856,None,None,1,Park Circulation,Concrete,0.00442618,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,76265,113823,2019-01-01 00:00:00,Good
Bible Park,602,None,None,1,Park Circulation,Concrete,0.01094275,12.0,None,City & County of Denver,None,2011,None,WLKTRL,WLK-HARD,70969,108551,2019-01-01 00:00:00,Good
Chaffee Park,003,None,None,1,Park Circulation,Concrete,0.01269644,6.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,71082,105572,2019-01-01 00:00:00,Good
Lowry Sports Complex,L21,None,None,1,Right of Way Walk,Concrete,0.10481501,12.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,74287,104465,2019-01-01 00:00:00,Good
Greenway Park,556,None,None,1,Park Circulation,Concrete,0.00358263,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,70653,107047,2019-01-01 00:00:00,Good
Red Rocks,M44,Red Rocks Connector,None,2,Mountain,Natural Surface,0.1180163,None,None,Jefferson County,None,2012,Formalized with strucutures 2012,WLKTRL,TRL-MTN,77086,None,None,None
Arkins Promenade,945,None,None,1,Park Circulation,Crusher Fines,0.00620106,4.0,None,City & County of Denver,None,2022,None,WLKTRL,WLK-SOFT,77410,None,2022-06-07 00:00:00,100
Northfield Pond,565,Northfiled Trail,None,2,Minor Trail,Concrete,0.01733879,10.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,74651,107554,2019-01-01 00:00:00,Good
Sloans Lake Park,019,None,None,1,Park Circulation,Concrete,0.00862581,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,75767,104633,2018-09-13 00:00:00,Poor
Mayfair,432,Smoky Hill Trail,None,1,Park Circulation,Crusher Fines,0.05232596,6.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-SOFT,74021,104402,2018-09-25 00:00:00,Poor
Globeville Landing Park,908,None,None,1,Park Circulation,Concrete,0.03134781,8.0,None,City & County of Denver,None,2019,None,WLKTRL,WLK-HARD,77014,None,2021-04-27 00:00:00,100
Greenway Park,556,None,None,1,Right of Way Walk,Concrete,0.00330656,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,72242,109382,2019-01-01 00:00:00,Good
Northfield Pond,565,None,None,1,Park Circulation,Natural Surface,0.06871813,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-SOFT,74648,107551,2019-01-01 00:00:00,Good
Lowry Open Space,L28,None,None,1,Park Circulation,Concrete,0.0605753,6.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,76445,114810,2019-01-01 00:00:00,Good
City Park,201,Ferril Lake Loop,None,1,Park Circulation,Concrete,0.13689604,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,74193,108215,2019-01-01 00:00:00,Good
Harvey Park,130,Harvey Park Lake Loop,None,1,Park Circulation,Asphalt,0.14371925,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,72469,108707,2019-01-01 00:00:00,Good
Cherry Creek Greenway,TRL-CC,None,None,1,Park Circulation,Crusher Fines,0.06997561,3.0,None,City & County of Denver,None,2021,None,WLKTRL,WLK-SOFT,75093,None,2021-07-22 00:00:00,100
51st & Zuni,009,None,None,1,Park Circulation,Asphalt,0.0214567,8.0,None,City & County of Denver,None,2000,None,WLKTRL,WLK-HARD,70329,105472,2018-06-27 00:00:00,Poor
City of Brest Park,320,None,None,1,Right of Way Walk,Concrete,0.05857958,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,74905,107608,2019-01-01 00:00:00,Good
Cook Park,763,None,None,1,Park Circulation,Concrete,0.00367742,10.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,70522,103956,2019-01-01 00:00:00,Good
Sloans Lake Park,019,None,None,1,Park Circulation,Concrete,0.00427975,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,71414,107142,2019-01-01 00:00:00,Good
Cheesman Park,312,None,None,1,Park Circulation,Concrete,0.003764,10.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,70059,105429,2019-01-01 00:00:00,Good
Westerly Creek Park,560,None,None,1,Park Circulation,Concrete,0.00296687,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,74374,106761,2019-01-01 00:00:00,Good
Mayfair,432,None,None,1,Right of Way Walk,Concrete,0.01560773,6.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,72886,106569,2019-01-01 00:00:00,Good
City Park,201,None,None,1,Right of Way Walk,Concrete,0.42675701,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,71258,104032,2018-10-26 00:00:00,Poor
Highland Senior Center,034,None,None,1,Park Circulation,Concrete,0.042082,10.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,76141,112697,2019-01-01 00:00:00,Good
Greenway Park,556,None,None,1,Park Circulation,Concrete,0.00884105,10.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,71195,107882,2019-01-01 00:00:00,Good
Greenway Park,556,None,None,1,Right of Way Walk,Crusher Fines,0.02979811,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,70714,108517,2019-01-01 00:00:00,Good
Fishback Park,905,None,None,1,Park Circulation,Concrete,0.01158591,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,71813,104899,2019-01-01 00:00:00,Good
Cherry Creek Greenway,TRL-CC,None,None,1,Park Circulation,Concrete,0.06748223,8.0,None,City & County of Denver,None,2021,None,WLKTRL,WLK-HARD,75101,None,2021-07-22 00:00:00,100
Garfield Lake Park,807,Garfield Lake Bike Skills Trail,None,1,Park Circulation,Wood Decking,0.01721271,6.0,None,City & County of Denver,None,2018,Bike Skills Trail,WLKTRL,WLK-HARD,76855,None,2021-05-21 00:00:00,100
City Park,201,Mile High Loop,None,1,Park Circulation,Crusher Fines,0.08349004,8.0,None,City & County of Denver,None,2009,None,WLKTRL,WLK-SOFT,75276,104584,2019-01-01 00:00:00,Good
City of Cuernavaca Park,904,South Platte River Trail,None,2,Regional,Concrete,0.12165,12.0,None,City & County of Denver,None,None,None,WLKTRL,TRL-RGN,71790,104876,2019-01-01 00:00:00,Good
Carpio Sanguinette,912,South Platte River Trail,None,2,Regional,Concrete,0.11937812,10.0,None,City & County of Denver,None,None,None,WLKTRL,TRL-RGN,74814,106057,2019-01-01 00:00:00,Good
Babi-Yar Park,601,None,None,1,Right of Way Walk,Concrete,0.03734964,10.0,None,City & County of Denver,None,2008,None,WLKTRL,WLK-ROW,73282,105093,2019-01-01 00:00:00,Good
Fuller Park,205,None,None,1,Park Circulation,Concrete,0.00316076,12.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,75006,104528,2019-01-01 00:00:00,Good
Carpio Sanguinette,912,South Platte River Trail,None,2,Regional,Concrete,0.00947982,10.0,None,City & County of Denver,None,None,None,WLKTRL,TRL-RGN,74785,105291,2019-01-01 00:00:00,Good
Garland Park,728,None,None,1,Park Circulation,Concrete,0.05389455,8.0,None,City & County of Denver,None,2021,None,WLKTRL,WLK-HARD,77395,None,2022-05-06 00:00:00,100
Park Ave Parks,317,None,None,1,Right of Way Walk,Concrete,0.00462736,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,76173,112997,2019-01-01 00:00:00,Good
Fuller Park,205,None,None,1,Park Circulation,Asphalt,0.015272,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,71777,104115,2019-01-01 00:00:00,Good
Greenway Park,556,None,None,1,Park Circulation,Concrete,0.02195997,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,70710,108513,2019-01-01 00:00:00,Good
Lowry Sports Complex,L21,None,None,1,Park Circulation,Concrete,0.00664317,10.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,74419,107521,2019-01-01 00:00:00,Good
Thomas (Fred) Park,L16,None,None,1,Park Circulation,Concrete,0.00280855,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,73569,105889,2019-01-01 00:00:00,Good
Green Valley Ranch East,550,None,None,1,Park Circulation,Concrete,0.00887319,8.0,None,City & County of Denver,None,2009,None,WLKTRL,WLK-HARD,75333,106875,2019-01-01 00:00:00,Good
Sandos (M.L. Sam) Park,023,None,None,1,Right of Way Walk,Concrete,0.20354814,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,70412,107020,2019-01-01 00:00:00,Good
City Park,201,None,None,1,Right of Way Walk,Concrete,0.06387236,5.0,None,City & County of Denver,None,2009,None,WLKTRL,WLK-ROW,75455,109034,2019-01-01 00:00:00,Good
56th Ave,546,56th Ave,None,2,Neighborhood,Concrete,0.18495942,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,75450,109029,2019-01-01 00:00:00,Good
Barnum Park,804,None,None,1,Park Circulation,Asphalt,0.10916418,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,75195,108338,2018-09-17 00:00:00,Poor
Wallace Park,612,None,None,1,Park Circulation,Concrete,0.00699959,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,73835,106697,2019-01-01 00:00:00,Good
Morrison,224,None,None,1,Park Circulation,Concrete,0.01142105,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,74544,105265,2019-01-01 00:00:00,Good
Central Park,561,None,None,1,Park Circulation,Concrete,0.01477058,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,72142,107227,2019-01-01 00:00:00,Good
Thomas (Fred) Park,L16,None,None,1,Park Circulation,Concrete,0.03573936,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,73540,105126,2019-01-01 00:00:00,Good
North Commons Lawn,590,None,None,1,Park Circulation,Crusher Fines,None,None,None,City & County of Denver,None,2018,None,WLKTRL,WLK-SOFT,None,None,2022-09-29 00:00:00,80
Sloan's Lake Park,019,None,None,1,Park Circulation,Concrete,0.01457029,None,None,City & County of Denver,None,2011,None,WLKTRL,WLK-HARD,75547,105391,2019-01-01 00:00:00,Good
Sunken Gardens,318,None,None,1,Park Circulation,Asphalt,0.19008595,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,73566,105886,2018-10-23 00:00:00,Poor
Lakewood & Dry Gulch Park,030,Lakewood Dry Gulch Trail,None,2,Minor,Concrete,0.05747317,8.0,None,City & County of Denver,None,None,None,WLKTRL,TRL-MNR,70980,109206,2019-01-01 00:00:00,Good
Westerly Creek Park,560,None,None,1,Park Circulation,Concrete,0.0356663,10.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,74354,106006,2019-01-01 00:00:00,Good
La Raza Park,004,None,None,1,Right of Way Walk,Concrete,0.07725674,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,71574,105642,2019-01-01 00:00:00,Good
Westwood Park,839,None,None,1,Right of Way Walk,Concrete,0.02905261,8.0,None,City & County of Denver,None,2018,None,WLKTRL,WLK-ROW,74120,106729,2019-01-01 00:00:00,Good
Hutchinson Park,616,None,None,1,Park Circulation,Crusher Fines,0.03334705,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-SOFT,72614,107278,2019-01-01 00:00:00,Good
North Prairie Basin,591,None,None,1,Right of Way Walk,Concrete,None,None,None,City & County of Denver,None,2018,None,WLKTRL,WLK-ROW,None,None,2022-10-27 00:00:00,80
Golden Key Park,607,None,None,1,Park Circulation,Asphalt,0.02451868,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,71312,104840,2018-09-24 00:00:00,Poor
Gates Crecsent Park,907,South Platte River Trail,None,2,Regional,Concrete,0.17065751,8.0,None,City & County of Denver,None,None,None,WLKTRL,TRL-RGN,72065,105698,2019-01-01 00:00:00,Good
Prairie Uplands,583,None,None,1,Park Circulation,Crusher Fines,0.00632545,None,None,City & County of Denver,None,2016,None,WLKTRL,WLK-SOFT,76675,None,2019-01-01 00:00:00,80
Lowry Dam,L30,Lowry Dam Trail,None,1,Park CIrculation,Crusher Fines,1.39338277,10.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-SOFT,76501,None,2021-08-23 00:00:00,80
First Creek Park,586,None,None,1,Park Circulation,Crusher Fines,0.04070179,6.0,None,City & County of Denver,None,2019,None,WLKTRL,WLK-SOFT,77053,None,2021-05-21 00:00:00,100
Dailey Park,713,None,None,1,Park Circulation,Concrete,0.00289242,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,71836,105663,2019-01-01 00:00:00,Good
Argo Park,212,None,None,1,Park Circulation,Concrete,0.00262104,5.0,None,City & County of Denver,None,2010,None,WLKTRL,WLK-HARD,75192,108335,2019-01-01 00:00:00,Good
Bezoff,624,None,None,1,Right of Way Walk,Concrete,0.00494271,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,70835,105559,2019-01-01 00:00:00,Good
Rude Park,024, ,None,1,Park Circulation,Concrete,0.00498553,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,74985,109692,2019-01-01 00:00:00,Good
Athmar Park,802,None,None,1,Park Circulation,Concrete,0.01128615,12.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,76235,113460,2019-01-01 00:00:00,Good
Lakewood & Dry Gulch Park,030,None,None,1,Park Circulation,Concrete,0.11054555,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,72580,105785,2019-01-01 00:00:00,Good
Cheesman Park,312,Cheesman Park Outer Loop,None,1,Park Circulation,Crusher Fines,0.0594173,10.0,None,City & County of Denver,None,2010,None,WLKTRL,WLK-SOFT,75511,104597,2019-01-01 00:00:00,Good
Parkfield,516,None,None,1,Park Circulation,Concrete,0.00971455,8.0,None,City & County of Denver,None,2011,None,WLKTRL,WLK-HARD,75937,109817,2019-01-01 00:00:00,Good
Civic Center Park,213,None,None,1,Park Circulation,Concrete,0.01122736,22.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,70165,107753,2019-01-01 00:00:00,Good
Alamo Placita Park,301,None,None,1,Park Circulation,Concrete,0.0063829,6.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,70457,108477,2019-01-01 00:00:00,Good
Greenway Park,556,None,None,1,Right of Way Walk,Concrete,0.00194118,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,72085,105718,2019-01-01 00:00:00,Good
Crescent Park,L25,None,None,1,Park Circulation,Concrete,0.01048144,6.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,71628,106426,2019-01-01 00:00:00,Good
Highland Gateway Park,046,None,None,1,Right of Way Walk,Concrete,0.00835297,7.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,72492,109408,2019-01-01 00:00:00,Good
Washington Park,711,Smith Lake Loop,None,1,Park Circulation,Concrete,0.0109788,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,73897,107458,2019-01-01 00:00:00,Good
Civic Center Park,213,None,None,1,Right of Way Walk,Concrete,0.05002539,12.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,71601,106399,2019-01-01 00:00:00,Good
